Results for node = 1
    time [d]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   2.0891E-03      2.9330E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   4.1782E-03      2.9360E+02      0.0000E+00      0.0000E+00      4.8680E-02      1.9995E+02   
   6.2674E-03      2.9390E+02      0.0000E+00      0.0000E+00      4.8685E-02      1.9995E+02   
   8.3565E-03      2.9420E+02      0.0000E+00      0.0000E+00      4.8691E-02      1.9995E+02   
   1.0446E-02      2.9450E+02      0.0000E+00      0.0000E+00      4.8700E-02      1.9995E+02   
   1.2535E-02      2.9480E+02      0.0000E+00      0.0000E+00      4.8711E-02      1.9995E+02   
   1.4624E-02      2.9511E+02      0.0000E+00      0.0000E+00      4.8725E-02      1.9995E+02   
   1.6713E-02      2.9541E+02      0.0000E+00      0.0000E+00      4.8741E-02      1.9995E+02   
   1.8802E-02      2.9571E+02      0.0000E+00      0.0000E+00      4.8760E-02      1.9995E+02   
   2.0891E-02      2.9601E+02      0.0000E+00      0.0000E+00      4.8781E-02      1.9995E+02   
   2.2980E-02      2.9631E+02      0.0000E+00      0.0000E+00      4.8805E-02      1.9995E+02   
   2.5069E-02      2.9661E+02      0.0000E+00      0.0000E+00      4.8832E-02      1.9995E+02   
   2.7159E-02      2.9691E+02      0.0000E+00      0.0000E+00      4.8862E-02      1.9995E+02   
   2.9248E-02      2.9721E+02      0.0000E+00      0.0000E+00      4.8895E-02      1.9995E+02   
   3.1337E-02      2.9751E+02      0.0000E+00      0.0000E+00      4.8931E-02      1.9995E+02   
   3.3426E-02      2.9781E+02      0.0000E+00      0.0000E+00      4.8971E-02      1.9995E+02   
   3.5515E-02      2.9811E+02      0.0000E+00      0.0000E+00      4.9014E-02      1.9995E+02   
   3.7604E-02      2.9841E+02      0.0000E+00      0.0000E+00      4.9061E-02      1.9995E+02   
   3.9693E-02      2.9872E+02      0.0000E+00      0.0000E+00      4.9112E-02      1.9995E+02   
   4.1782E-02      2.9902E+02      0.0000E+00      0.0000E+00      4.9167E-02      1.9995E+02   
   4.3872E-02      2.9932E+02      0.0000E+00      0.0000E+00      4.9226E-02      1.9995E+02   
   4.5961E-02      2.9962E+02      0.0000E+00      0.0000E+00      4.9289E-02      1.9995E+02   
   4.8050E-02      2.9992E+02      0.0000E+00      0.0000E+00      4.9357E-02      1.9995E+02   
   5.0139E-02      3.0022E+02      0.0000E+00      0.0000E+00      4.9429E-02      1.9995E+02   
   5.2228E-02      3.0052E+02      0.0000E+00      0.0000E+00      4.9506E-02      1.9995E+02   
   5.4317E-02      3.0082E+02      0.0000E+00      0.0000E+00      4.9588E-02      1.9995E+02   
   5.6406E-02      3.0112E+02      0.0000E+00      0.0000E+00      4.9676E-02      1.9995E+02   
   5.8495E-02      3.0142E+02      0.0000E+00      0.0000E+00      4.9768E-02      1.9995E+02   
   6.0584E-02      3.0172E+02      0.0000E+00      0.0000E+00      4.9866E-02      1.9995E+02   
   6.2674E-02      3.0202E+02      0.0000E+00      0.0000E+00      4.9970E-02      1.9995E+02   
   6.4763E-02      3.0233E+02      0.0000E+00      0.0000E+00      5.0079E-02      1.9995E+02   
   6.6852E-02      3.0263E+02      0.0000E+00      0.0000E+00      5.0195E-02      1.9995E+02   
   6.8941E-02      3.0293E+02      0.0000E+00      0.0000E+00      5.0317E-02      1.9995E+02   
   7.1030E-02      3.0323E+02      0.0000E+00      0.0000E+00      5.0446E-02      1.9995E+02   
   7.3119E-02      3.0353E+02      0.0000E+00      0.0000E+00      5.0581E-02      1.9995E+02   
   7.5208E-02      3.0383E+02      0.0000E+00      0.0000E+00      5.0723E-02      1.9995E+02   
   7.7297E-02      3.0413E+02      0.0000E+00      0.0000E+00      5.0873E-02      1.9995E+02   
   7.9387E-02      3.0443E+02      0.0000E+00      0.0000E+00      5.1030E-02      1.9995E+02   
   8.1476E-02      3.0473E+02      0.0000E+00      0.0000E+00      5.1194E-02      1.9995E+02   
   8.3565E-02      3.0503E+02      0.0000E+00      0.0000E+00      5.1367E-02      1.9995E+02   
   8.5654E-02      3.0533E+02      0.0000E+00      0.0000E+00      5.1547E-02      1.9995E+02   
   8.7743E-02      3.0563E+02      0.0000E+00      0.0000E+00      5.1736E-02      1.9995E+02   
   8.9832E-02      3.0594E+02      0.0000E+00      0.0000E+00      5.1934E-02      1.9995E+02   
   9.1921E-02      3.0624E+02      0.0000E+00      0.0000E+00      5.2140E-02      1.9995E+02   
   9.4010E-02      3.0654E+02      0.0000E+00      0.0000E+00      5.2356E-02      1.9995E+02   
   9.6100E-02      3.0684E+02      0.0000E+00      0.0000E+00      5.2581E-02      1.9995E+02   
   9.8189E-02      3.0714E+02      0.0000E+00      0.0000E+00      5.2817E-02      1.9995E+02   
   1.0028E-01      3.0744E+02      0.0000E+00      0.0000E+00      5.3062E-02      1.9995E+02   
   1.0174E-01      3.0765E+02      0.0000E+00      0.0000E+00      5.3240E-02      1.9995E+02   
   1.0383E-01      3.0795E+02      0.0000E+00      0.0000E+00      5.3503E-02      1.9995E+02   
   1.0592E-01      3.0825E+02      0.0000E+00      0.0000E+00      5.3776E-02      1.9995E+02   
   1.0801E-01      3.0855E+02      0.0000E+00      0.0000E+00      5.4061E-02      1.9995E+02   
   1.1010E-01      3.0885E+02      0.0000E+00      0.0000E+00      5.4358E-02      1.9995E+02   
   1.1219E-01      3.0915E+02      0.0000E+00      0.0000E+00      5.4666E-02      1.9995E+02   
   1.1428E-01      3.0946E+02      0.0000E+00      0.0000E+00      5.4987E-02      1.9995E+02   
   1.1637E-01      3.0976E+02      0.0000E+00      0.0000E+00      5.5320E-02      1.9994E+02   
   1.1845E-01      3.1006E+02      0.0000E+00      0.0000E+00      5.5666E-02      1.9994E+02   
   1.2054E-01      3.1036E+02      0.0000E+00      0.0000E+00      5.6025E-02      1.9994E+02   
   1.2263E-01      3.1066E+02      0.0000E+00      0.0000E+00      5.6398E-02      1.9994E+02   
   1.2472E-01      3.1096E+02      0.0000E+00      0.0000E+00      5.6784E-02      1.9994E+02   
   1.2681E-01      3.1126E+02      0.0000E+00      0.0000E+00      5.7185E-02      1.9994E+02   
   1.2890E-01      3.1156E+02      0.0000E+00      0.0000E+00      5.7600E-02      1.9994E+02   
