Results for node = 1
    time [h]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.3472E-02      2.9501E+02      0.0000E+00      0.0000E+00      4.8681E-02      1.9995E+02   
   6.6944E-02      2.9702E+02      0.0000E+00      0.0000E+00      4.8696E-02      1.9995E+02   
   1.0042E-01      2.9902E+02      0.0000E+00      0.0000E+00      4.8726E-02      1.9995E+02   
   1.3389E-01      3.0103E+02      0.0000E+00      0.0000E+00      4.8776E-02      1.9995E+02   
   1.6736E-01      3.0304E+02      0.0000E+00      0.0000E+00      4.8851E-02      1.9995E+02   
   2.0083E-01      3.0505E+02      0.0000E+00      0.0000E+00      4.8958E-02      1.9995E+02   
   2.3431E-01      3.0706E+02      0.0000E+00      0.0000E+00      4.9107E-02      1.9995E+02   
   2.4431E-01      3.0766E+02      0.0000E+00      0.0000E+00      4.9161E-02      1.9995E+02   
   2.7778E-01      3.0967E+02      0.0000E+00      0.0000E+00      4.9378E-02      1.9995E+02   
   3.1125E-01      3.1167E+02      0.0000E+00      0.0000E+00      4.9665E-02      1.9995E+02   
   3.4472E-01      3.1368E+02      0.0000E+00      0.0000E+00      5.0036E-02      1.9995E+02   
   3.7819E-01      3.1569E+02      0.0000E+00      0.0000E+00      5.0511E-02      1.9995E+02   
   4.1167E-01      3.1770E+02      0.0000E+00      0.0000E+00      5.1113E-02      1.9995E+02   
   4.4514E-01      3.1971E+02      0.0000E+00      0.0000E+00      5.1869E-02      1.9995E+02   
   4.7861E-01      3.2172E+02      0.0000E+00      0.0000E+00      5.2810E-02      1.9995E+02   
   5.1208E-01      3.2372E+02      0.0000E+00      0.0000E+00      5.3975E-02      1.9995E+02   
   5.4556E-01      3.2573E+02      0.0000E+00      0.0000E+00      5.5407E-02      1.9994E+02   
   5.7903E-01      3.2774E+02      0.0000E+00      0.0000E+00      5.7156E-02      1.9994E+02   
   6.1250E-01      3.2975E+02      0.0000E+00      0.0000E+00      5.9282E-02      1.9994E+02   
   6.4597E-01      3.3176E+02      0.0000E+00      0.0000E+00      6.1852E-02      1.9994E+02   
   6.7944E-01      3.3377E+02      0.0000E+00      0.0000E+00      6.4944E-02      1.9994E+02   
   7.1292E-01      3.3577E+02      0.0000E+00      0.0000E+00      6.8647E-02      1.9993E+02   
   7.4639E-01      3.3778E+02      0.0000E+00      0.0000E+00      7.3061E-02      1.9993E+02   
   7.7986E-01      3.3979E+02      0.0000E+00      0.0000E+00      7.8302E-02      1.9992E+02   
   8.1333E-01      3.4180E+02      0.0000E+00      0.0000E+00      8.4498E-02      1.9992E+02   
   8.4681E-01      3.4381E+02      0.0000E+00      0.0000E+00      9.1793E-02      1.9991E+02   
   8.8028E-01      3.4582E+02      0.0000E+00      0.0000E+00      1.0035E-01      1.9990E+02   
   9.1375E-01      3.4782E+02      0.0000E+00      0.0000E+00      1.1034E-01      1.9989E+02   
   9.4722E-01      3.4983E+02      0.0000E+00      0.0000E+00      1.2196E-01      1.9988E+02   
   9.8069E-01      3.5184E+02      0.0000E+00      0.0000E+00      1.3544E-01      1.9986E+02   
   1.0142E+00      3.5385E+02      0.0000E+00      0.0000E+00      1.5099E-01      1.9985E+02   
   1.0476E+00      3.5586E+02      0.0000E+00      0.0000E+00      1.6888E-01      1.9983E+02   
