Results for node = 1
    time [m]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   1.7500E-01      2.9335E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.5000E-01      2.9370E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   5.2500E-01      2.9405E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   7.0000E-01      2.9440E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   8.7500E-01      2.9475E+02      0.0000E+00      0.0000E+00      4.8678E-02      1.9995E+02   
   1.0500E+00      2.9510E+02      0.0000E+00      0.0000E+00      4.8679E-02      1.9995E+02   
   1.2250E+00      2.9545E+02      0.0000E+00      0.0000E+00      4.8680E-02      1.9995E+02   
   1.4000E+00      2.9580E+02      0.0000E+00      0.0000E+00      4.8681E-02      1.9995E+02   
   1.4667E+00      2.9593E+02      0.0000E+00      0.0000E+00      4.8681E-02      1.9995E+02   
   1.6417E+00      2.9628E+02      0.0000E+00      0.0000E+00      4.8683E-02      1.9995E+02   
   1.8167E+00      2.9663E+02      0.0000E+00      0.0000E+00      4.8684E-02      1.9995E+02   
   1.9917E+00      2.9698E+02      0.0000E+00      0.0000E+00      4.8686E-02      1.9995E+02   
   2.1667E+00      2.9733E+02      0.0000E+00      0.0000E+00      4.8688E-02      1.9995E+02   
   2.3417E+00      2.9768E+02      0.0000E+00      0.0000E+00      4.8690E-02      1.9995E+02   
   2.5167E+00      2.9803E+02      0.0000E+00      0.0000E+00      4.8693E-02      1.9995E+02   
   2.6917E+00      2.9838E+02      0.0000E+00      0.0000E+00      4.8696E-02      1.9995E+02   
   2.8667E+00      2.9873E+02      0.0000E+00      0.0000E+00      4.8699E-02      1.9995E+02   
   3.0417E+00      2.9908E+02      0.0000E+00      0.0000E+00      4.8702E-02      1.9995E+02   
   3.2167E+00      2.9943E+02      0.0000E+00      0.0000E+00      4.8705E-02      1.9995E+02   
   3.3917E+00      2.9978E+02      0.0000E+00      0.0000E+00      4.8709E-02      1.9995E+02   
   3.5667E+00      3.0013E+02      0.0000E+00      0.0000E+00      4.8714E-02      1.9995E+02   
   3.7417E+00      3.0048E+02      0.0000E+00      0.0000E+00      4.8718E-02      1.9995E+02   
   3.9167E+00      3.0083E+02      0.0000E+00      0.0000E+00      4.8723E-02      1.9995E+02   
   4.0917E+00      3.0118E+02      0.0000E+00      0.0000E+00      4.8729E-02      1.9995E+02   
   4.2667E+00      3.0153E+02      0.0000E+00      0.0000E+00      4.8734E-02      1.9995E+02   
   4.4417E+00      3.0188E+02      0.0000E+00      0.0000E+00      4.8740E-02      1.9995E+02   
   4.6167E+00      3.0223E+02      0.0000E+00      0.0000E+00      4.8747E-02      1.9995E+02   
   4.7917E+00      3.0258E+02      0.0000E+00      0.0000E+00      4.8754E-02      1.9995E+02   
   4.9667E+00      3.0293E+02      0.0000E+00      0.0000E+00      4.8761E-02      1.9995E+02   
   5.1417E+00      3.0328E+02      0.0000E+00      0.0000E+00      4.8769E-02      1.9995E+02   
   5.3167E+00      3.0363E+02      0.0000E+00      0.0000E+00      4.8778E-02      1.9995E+02   
   5.4917E+00      3.0398E+02      0.0000E+00      0.0000E+00      4.8787E-02      1.9995E+02   
   5.6667E+00      3.0433E+02      0.0000E+00      0.0000E+00      4.8796E-02      1.9995E+02   
   5.8417E+00      3.0468E+02      0.0000E+00      0.0000E+00      4.8807E-02      1.9995E+02   
   6.0167E+00      3.0503E+02      0.0000E+00      0.0000E+00      4.8817E-02      1.9995E+02   
   6.1917E+00      3.0538E+02      0.0000E+00      0.0000E+00      4.8829E-02      1.9995E+02   
   6.3667E+00      3.0573E+02      0.0000E+00      0.0000E+00      4.8841E-02      1.9995E+02   
   6.5417E+00      3.0608E+02      0.0000E+00      0.0000E+00      4.8853E-02      1.9995E+02   
   6.7167E+00      3.0643E+02      0.0000E+00      0.0000E+00      4.8867E-02      1.9995E+02   
   6.8917E+00      3.0678E+02      0.0000E+00      0.0000E+00      4.8881E-02      1.9995E+02   
   7.0667E+00      3.0713E+02      0.0000E+00      0.0000E+00      4.8896E-02      1.9995E+02   
   7.2417E+00      3.0748E+02      0.0000E+00      0.0000E+00      4.8911E-02      1.9995E+02   
   7.4167E+00      3.0783E+02      0.0000E+00      0.0000E+00      4.8928E-02      1.9995E+02   
   7.5917E+00      3.0818E+02      0.0000E+00      0.0000E+00      4.8945E-02      1.9995E+02   
   7.7667E+00      3.0853E+02      0.0000E+00      0.0000E+00      4.8963E-02      1.9995E+02   
   7.9417E+00      3.0888E+02      0.0000E+00      0.0000E+00      4.8983E-02      1.9995E+02   
   8.1167E+00      3.0923E+02      0.0000E+00      0.0000E+00      4.9003E-02      1.9995E+02   
   8.2917E+00      3.0958E+02      0.0000E+00      0.0000E+00      4.9024E-02      1.9995E+02   
   8.4667E+00      3.0993E+02      0.0000E+00      0.0000E+00      4.9046E-02      1.9995E+02   
   8.6417E+00      3.1028E+02      0.0000E+00      0.0000E+00      4.9069E-02      1.9995E+02   
   8.8167E+00      3.1063E+02      0.0000E+00      0.0000E+00      4.9094E-02      1.9995E+02   
   8.9917E+00      3.1098E+02      0.0000E+00      0.0000E+00      4.9119E-02      1.9995E+02   
   9.1667E+00      3.1133E+02      0.0000E+00      0.0000E+00      4.9146E-02      1.9995E+02   
   9.3417E+00      3.1168E+02      0.0000E+00      0.0000E+00      4.9174E-02      1.9995E+02   
   9.5167E+00      3.1203E+02      0.0000E+00      0.0000E+00      4.9203E-02      1.9995E+02   
   9.6917E+00      3.1238E+02      0.0000E+00      0.0000E+00      4.9234E-02      1.9995E+02   
   9.8667E+00      3.1273E+02      0.0000E+00      0.0000E+00      4.9266E-02      1.9995E+02   
   1.0042E+01      3.1308E+02      0.0000E+00      0.0000E+00      4.9299E-02      1.9995E+02   
   1.0217E+01      3.1343E+02      0.0000E+00      0.0000E+00      4.9334E-02      1.9995E+02   
   1.0392E+01      3.1378E+02      0.0000E+00      0.0000E+00      4.9371E-02      1.9995E+02   
   1.0567E+01      3.1413E+02      0.0000E+00      0.0000E+00      4.9409E-02      1.9995E+02   
   1.0742E+01      3.1448E+02      0.0000E+00      0.0000E+00      4.9449E-02      1.9995E+02   
   1.0917E+01      3.1483E+02      0.0000E+00      0.0000E+00      4.9491E-02      1.9995E+02   
   1.1092E+01      3.1518E+02      0.0000E+00      0.0000E+00      4.9534E-02      1.9995E+02   
   1.1267E+01      3.1553E+02      0.0000E+00      0.0000E+00      4.9579E-02      1.9995E+02   
   1.1442E+01      3.1588E+02      0.0000E+00      0.0000E+00      4.9626E-02      1.9995E+02   
   1.1617E+01      3.1623E+02      0.0000E+00      0.0000E+00      4.9676E-02      1.9995E+02   
   1.1792E+01      3.1658E+02      0.0000E+00      0.0000E+00      4.9727E-02      1.9995E+02   
   1.1967E+01      3.1693E+02      0.0000E+00      0.0000E+00      4.9780E-02      1.9995E+02   
   1.2142E+01      3.1728E+02      0.0000E+00      0.0000E+00      4.9836E-02      1.9995E+02   
   1.2317E+01      3.1763E+02      0.0000E+00      0.0000E+00      4.9894E-02      1.9995E+02   
   1.2492E+01      3.1798E+02      0.0000E+00      0.0000E+00      4.9954E-02      1.9995E+02   
   1.2667E+01      3.1833E+02      0.0000E+00      0.0000E+00      5.0016E-02      1.9995E+02   
   1.2842E+01      3.1868E+02      0.0000E+00      0.0000E+00      5.0082E-02      1.9995E+02   
   1.3017E+01      3.1903E+02      0.0000E+00      0.0000E+00      5.0149E-02      1.9995E+02   
   1.3192E+01      3.1938E+02      0.0000E+00      0.0000E+00      5.0220E-02      1.9995E+02   
   1.3367E+01      3.1973E+02      0.0000E+00      0.0000E+00      5.0293E-02      1.9995E+02   
   1.3542E+01      3.2008E+02      0.0000E+00      0.0000E+00      5.0369E-02      1.9995E+02   
   1.3717E+01      3.2043E+02      0.0000E+00      0.0000E+00      5.0449E-02      1.9995E+02   
   1.3892E+01      3.2078E+02      0.0000E+00      0.0000E+00      5.0531E-02      1.9995E+02   
   1.4067E+01      3.2113E+02      0.0000E+00      0.0000E+00      5.0616E-02      1.9995E+02   
   1.4242E+01      3.2148E+02      0.0000E+00      0.0000E+00      5.0705E-02      1.9995E+02   
   1.4417E+01      3.2183E+02      0.0000E+00      0.0000E+00      5.0797E-02      1.9995E+02   
   1.4592E+01      3.2218E+02      0.0000E+00      0.0000E+00      5.0893E-02      1.9995E+02   
   1.4767E+01      3.2253E+02      0.0000E+00      0.0000E+00      5.0992E-02      1.9995E+02   
   1.4942E+01      3.2288E+02      0.0000E+00      0.0000E+00      5.1095E-02      1.9995E+02   
   1.5117E+01      3.2323E+02      0.0000E+00      0.0000E+00      5.1202E-02      1.9995E+02   
   1.5292E+01      3.2358E+02      0.0000E+00      0.0000E+00      5.1313E-02      1.9995E+02   
   1.5467E+01      3.2393E+02      0.0000E+00      0.0000E+00      5.1428E-02      1.9995E+02   
   1.5642E+01      3.2428E+02      0.0000E+00      0.0000E+00      5.1547E-02      1.9995E+02   
   1.5817E+01      3.2463E+02      0.0000E+00      0.0000E+00      5.1671E-02      1.9995E+02   
   1.5992E+01      3.2498E+02      0.0000E+00      0.0000E+00      5.1799E-02      1.9995E+02   
   1.6167E+01      3.2533E+02      0.0000E+00      0.0000E+00      5.1932E-02      1.9995E+02   
   1.6342E+01      3.2568E+02      0.0000E+00      0.0000E+00      5.2069E-02      1.9995E+02   
   1.6517E+01      3.2603E+02      0.0000E+00      0.0000E+00      5.2212E-02      1.9995E+02   
   1.6692E+01      3.2638E+02      0.0000E+00      0.0000E+00      5.2360E-02      1.9995E+02   
   1.6867E+01      3.2673E+02      0.0000E+00      0.0000E+00      5.2513E-02      1.9995E+02   
   1.7042E+01      3.2708E+02      0.0000E+00      0.0000E+00      5.2671E-02      1.9995E+02   
   1.7217E+01      3.2743E+02      0.0000E+00      0.0000E+00      5.2835E-02      1.9995E+02   
   1.7392E+01      3.2778E+02      0.0000E+00      0.0000E+00      5.3005E-02      1.9995E+02   
   1.7567E+01      3.2813E+02      0.0000E+00      0.0000E+00      5.3181E-02      1.9995E+02   
   1.7742E+01      3.2848E+02      0.0000E+00      0.0000E+00      5.3363E-02      1.9995E+02   
   1.7917E+01      3.2883E+02      0.0000E+00      0.0000E+00      5.3551E-02      1.9995E+02   
   1.8092E+01      3.2918E+02      0.0000E+00      0.0000E+00      5.3746E-02      1.9995E+02   
   1.8267E+01      3.2953E+02      0.0000E+00      0.0000E+00      5.3947E-02      1.9995E+02   
   1.8442E+01      3.2988E+02      0.0000E+00      0.0000E+00      5.4156E-02      1.9995E+02   
   1.8617E+01      3.3023E+02      0.0000E+00      0.0000E+00      5.4371E-02      1.9995E+02   
   1.8792E+01      3.3058E+02      0.0000E+00      0.0000E+00      5.4594E-02      1.9995E+02   
   1.8967E+01      3.3093E+02      0.0000E+00      0.0000E+00      5.4825E-02      1.9995E+02   
   1.9142E+01      3.3128E+02      0.0000E+00      0.0000E+00      5.5063E-02      1.9994E+02   
