Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   5.0000E-01      2.9367E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   2.0000E+00      2.9567E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.5000E+00      2.9767E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   5.0000E+00      2.9967E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   6.5000E+00      3.0167E+02      0.0000E+00      0.0000E+00      4.8678E-02      1.9995E+02   
   8.0000E+00      3.0367E+02      0.0000E+00      0.0000E+00      4.8679E-02      1.9995E+02   
   9.5000E+00      3.0567E+02      0.0000E+00      0.0000E+00      4.8680E-02      1.9995E+02   
   1.1000E+01      3.0767E+02      0.0000E+00      0.0000E+00      4.8683E-02      1.9995E+02   
   1.2500E+01      3.0967E+02      0.0000E+00      0.0000E+00      4.8685E-02      1.9995E+02   
   1.4000E+01      3.1167E+02      0.0000E+00      0.0000E+00      4.8689E-02      1.9995E+02   
   1.5500E+01      3.1367E+02      0.0000E+00      0.0000E+00      4.8694E-02      1.9995E+02   
   1.7000E+01      3.1567E+02      0.0000E+00      0.0000E+00      4.8700E-02      1.9995E+02   
   1.8500E+01      3.1767E+02      0.0000E+00      0.0000E+00      4.8708E-02      1.9995E+02   
   2.0000E+01      3.1967E+02      0.0000E+00      0.0000E+00      4.8718E-02      1.9995E+02   
   2.1500E+01      3.2167E+02      0.0000E+00      0.0000E+00      4.8731E-02      1.9995E+02   
   2.3000E+01      3.2367E+02      0.0000E+00      0.0000E+00      4.8746E-02      1.9995E+02   
   2.4500E+01      3.2567E+02      0.0000E+00      0.0000E+00      4.8765E-02      1.9995E+02   
   2.6000E+01      3.2767E+02      0.0000E+00      0.0000E+00      4.8789E-02      1.9995E+02   
   2.7500E+01      3.2967E+02      0.0000E+00      0.0000E+00      4.8817E-02      1.9995E+02   
   2.9000E+01      3.3167E+02      0.0000E+00      0.0000E+00      4.8852E-02      1.9995E+02   
   3.0500E+01      3.3367E+02      0.0000E+00      0.0000E+00      4.8894E-02      1.9995E+02   
   3.2000E+01      3.3567E+02      0.0000E+00      0.0000E+00      4.8945E-02      1.9995E+02   
   3.3500E+01      3.3767E+02      0.0000E+00      0.0000E+00      4.9005E-02      1.9995E+02   
   3.5000E+01      3.3967E+02      0.0000E+00      0.0000E+00      4.9078E-02      1.9995E+02   
   3.6500E+01      3.4167E+02      0.0000E+00      0.0000E+00      4.9166E-02      1.9995E+02   
   3.8000E+01      3.4367E+02      0.0000E+00      0.0000E+00      4.9269E-02      1.9995E+02   
   3.9500E+01      3.4567E+02      0.0000E+00      0.0000E+00      4.9392E-02      1.9995E+02   
   4.1000E+01      3.4767E+02      0.0000E+00      0.0000E+00      4.9538E-02      1.9995E+02   
   4.2500E+01      3.4967E+02      0.0000E+00      0.0000E+00      4.9710E-02      1.9995E+02   
   4.4000E+01      3.5167E+02      0.0000E+00      0.0000E+00      4.9913E-02      1.9995E+02   
   4.5500E+01      3.5367E+02      0.0000E+00      0.0000E+00      5.0151E-02      1.9995E+02   
   4.7000E+01      3.5567E+02      0.0000E+00      0.0000E+00      5.0430E-02      1.9995E+02   
   4.8500E+01      3.5767E+02      0.0000E+00      0.0000E+00      5.0757E-02      1.9995E+02   
   5.0000E+01      3.5967E+02      0.0000E+00      0.0000E+00      5.1138E-02      1.9995E+02   
   5.1500E+01      3.6167E+02      0.0000E+00      0.0000E+00      5.1582E-02      1.9995E+02   
   5.3000E+01      3.6367E+02      0.0000E+00      0.0000E+00      5.2098E-02      1.9995E+02   
   5.4500E+01      3.6567E+02      0.0000E+00      0.0000E+00      5.2697E-02      1.9995E+02   
   5.6000E+01      3.6767E+02      0.0000E+00      0.0000E+00      5.3390E-02      1.9995E+02   
   5.7500E+01      3.6967E+02      0.0000E+00      0.0000E+00      5.4192E-02      1.9995E+02   
   5.9000E+01      3.7167E+02      0.0000E+00      0.0000E+00      5.5116E-02      1.9994E+02   
   6.0500E+01      3.7367E+02      0.0000E+00      0.0000E+00      5.6181E-02      1.9994E+02   
   6.2000E+01      3.7567E+02      0.0000E+00      0.0000E+00      5.7405E-02      1.9994E+02   
   6.3500E+01      3.7767E+02      0.0000E+00      0.0000E+00      5.8809E-02      1.9994E+02   
   6.5000E+01      3.7967E+02      0.0000E+00      0.0000E+00      6.0418E-02      1.9994E+02   
   6.6500E+01      3.8167E+02      0.0000E+00      0.0000E+00      6.2259E-02      1.9994E+02   
   6.8000E+01      3.8367E+02      0.0000E+00      0.0000E+00      6.4362E-02      1.9994E+02   
   6.9500E+01      3.8567E+02      0.0000E+00      0.0000E+00      6.6759E-02      1.9993E+02   
   7.1000E+01      3.8767E+02      0.0000E+00      0.0000E+00      6.9488E-02      1.9993E+02   
   7.2500E+01      3.8967E+02      0.0000E+00      0.0000E+00      7.2591E-02      1.9993E+02   
   7.4000E+01      3.9167E+02      0.0000E+00      0.0000E+00      7.6112E-02      1.9992E+02   
   7.5500E+01      3.9367E+02      0.0000E+00      0.0000E+00      8.0104E-02      1.9992E+02   
   7.7000E+01      3.9567E+02      0.0000E+00      0.0000E+00      8.4622E-02      1.9992E+02   
   7.8500E+01      3.9767E+02      0.0000E+00      0.0000E+00      8.9727E-02      1.9991E+02   
   8.0000E+01      3.9967E+02      0.0000E+00      0.0000E+00      9.5490E-02      1.9990E+02   
   8.1500E+01      4.0167E+02      0.0000E+00      0.0000E+00      1.0198E-01      1.9990E+02   
   8.3000E+01      4.0367E+02      0.0000E+00      0.0000E+00      1.0929E-01      1.9989E+02   
   8.4500E+01      4.0567E+02      0.0000E+00      0.0000E+00      1.1751E-01      1.9988E+02   
   8.6000E+01      4.0767E+02      0.0000E+00      0.0000E+00      1.2673E-01      1.9987E+02   
   8.7500E+01      4.0967E+02      0.0000E+00      0.0000E+00      1.3707E-01      1.9986E+02   
   8.9000E+01      4.1167E+02      0.0000E+00      0.0000E+00      1.4865E-01      1.9985E+02   
   9.0500E+01      4.1367E+02      0.0000E+00      0.0000E+00      1.6159E-01      1.9984E+02   
   9.2000E+01      4.1567E+02      0.0000E+00      0.0000E+00      1.7604E-01      1.9982E+02   
   9.3500E+01      4.1767E+02      0.0000E+00      0.0000E+00      1.9216E-01      1.9981E+02   
   9.5000E+01      4.1967E+02      0.0000E+00      0.0000E+00      2.1012E-01      1.9979E+02   
   9.6500E+01      4.2167E+02      0.0000E+00      0.0000E+00      2.3009E-01      1.9977E+02   
   9.8000E+01      4.2367E+02      0.0000E+00      0.0000E+00      2.5228E-01      1.9975E+02   
   9.9500E+01      4.2567E+02      0.0000E+00      0.0000E+00      2.7691E-01      1.9972E+02   
   1.0100E+02      4.2767E+02      0.0000E+00      0.0000E+00      3.0420E-01      1.9970E+02   
   1.0250E+02      4.2967E+02      0.0000E+00      0.0000E+00      3.3442E-01      1.9967E+02   
   1.0400E+02      4.3167E+02      0.0000E+00      0.0000E+00      3.6783E-01      1.9963E+02   
   1.0550E+02      4.3367E+02      0.0000E+00      0.0000E+00      4.0472E-01      1.9960E+02   
   1.0700E+02      4.3567E+02      0.0000E+00      0.0000E+00      4.4541E-01      1.9955E+02   
   1.0850E+02      4.3767E+02      0.0000E+00      0.0000E+00      4.9024E-01      1.9951E+02   
   1.1000E+02      4.3967E+02      0.0000E+00      0.0000E+00      5.3957E-01      1.9946E+02   
   1.1150E+02      4.4167E+02      0.0000E+00      0.0000E+00      5.9379E-01      1.9941E+02   
   1.1250E+02      4.4300E+02      0.0000E+00      0.0000E+00      6.3344E-01      1.9937E+02   
   1.1354E+02      4.4439E+02      0.0000E+00      0.0000E+00      6.7771E-01      1.9932E+02   
   1.1463E+02      4.4584E+02      0.0000E+00      0.0000E+00      7.2736E-01      1.9927E+02   
   1.1578E+02      4.4737E+02      0.0000E+00      0.0000E+00      7.8329E-01      1.9922E+02   
   1.1698E+02      4.4898E+02      0.0000E+00      0.0000E+00      8.4664E-01      1.9915E+02   
   1.1826E+02      4.5067E+02      0.0000E+00      0.0000E+00      9.1881E-01      1.9908E+02   
   1.1960E+02      4.5247E+02      0.0000E+00      0.0000E+00      1.0015E+00      1.9900E+02   
   1.2104E+02      4.5438E+02      0.0000E+00      0.0000E+00      1.0970E+00      1.9890E+02   
   1.2256E+02      4.5642E+02      0.0000E+00      0.0000E+00      1.2080E+00      1.9879E+02   
   1.2420E+02      4.5859E+02      0.0000E+00      0.0000E+00      1.3383E+00      1.9866E+02   
   1.2595E+02      4.6093E+02      0.0000E+00      0.0000E+00      1.4925E+00      1.9851E+02   
   1.2784E+02      4.6345E+02      0.0000E+00      0.0000E+00      1.6769E+00      1.9832E+02   
   1.2884E+02      4.6479E+02      0.0000E+00      0.0000E+00      1.7831E+00      1.9822E+02   
   1.2989E+02      4.6619E+02      0.0000E+00      0.0000E+00      1.9003E+00      1.9810E+02   
   1.3098E+02      4.6764E+02      0.0000E+00      0.0000E+00      2.0302E+00      1.9797E+02   
   1.3213E+02      4.6917E+02      0.0000E+00      0.0000E+00      2.1746E+00      1.9783E+02   
   1.3333E+02      4.7077E+02      0.0000E+00      0.0000E+00      2.3358E+00      1.9766E+02   
   1.3459E+02      4.7245E+02      0.0000E+00      0.0000E+00      2.5165E+00      1.9748E+02   
   1.3591E+02      4.7421E+02      0.0000E+00      0.0000E+00      2.7202E+00      1.9728E+02   
   1.3731E+02      4.7608E+02      0.0000E+00      0.0000E+00      2.9509E+00      1.9705E+02   
   1.3879E+02      4.7805E+02      0.0000E+00      0.0000E+00      3.2136E+00      1.9679E+02   
   1.4036E+02      4.8014E+02      0.0000E+00      0.0000E+00      3.5146E+00      1.9649E+02   
   1.4202E+02      4.8236E+02      0.0000E+00      0.0000E+00      3.8617E+00      1.9614E+02   
   1.4380E+02      4.8474E+02      0.0000E+00      0.0000E+00      4.2651E+00      1.9573E+02   
   1.4571E+02      4.8728E+02      0.0000E+00      0.0000E+00      4.7376E+00      1.9526E+02   
   1.4776E+02      4.9002E+02      0.0000E+00      0.0000E+00      5.2960E+00      1.9470E+02   
   1.4998E+02      4.9298E+02      0.0000E+00      0.0000E+00      5.9627E+00      1.9404E+02   
   1.5240E+02      4.9620E+02      0.0000E+00      0.0000E+00      6.7676E+00      1.9323E+02   
   1.5504E+02      4.9971E+02      0.0000E+00      0.0000E+00      7.7519E+00      1.9225E+02   
   1.5794E+02      5.0359E+02      0.0000E+00      0.0000E+00      8.9730E+00      1.9103E+02   
