H1 	0.096 	0.048 	260.7 	268 
H2 	0.090 	0.184 	264.1 	198 
H3 	0.089 	0.317 	266.8 	169 
H4 	0.084 	0.446 	268.8 	141 
H5 	0.087 	0.575 	272.6 	87.5 
H6 	0.083 	0.703 	278.2 	51.5 
H7 	0.087 	0.831 	285.4 	38 
H8 	0.086 	0.961 	294.1 	33 
H9 	0.230 	1.162 	307.6 	36 
H10 	0.207 	1.424 	325.3 	27 
H11 	0.212 	1.676 	342.7 	23 
H12 	0.225 	1.938 	359.2 	25 
H13 	0.217 	2.202 	365.7 	22 
H14 	0.207 	2.458 	371.9 	22 
H15 	0.226 	2.717 	367.2 	18 
H16 	0.212 	2.979 	357.1 	21 
H17 	0.211 	3.234 	344.9 	24 
H18 	0.192 	3.479 	325.4 	36 
H19 	0.048 	3.643 	310.4 	30 
H20 	0.100 	3.760 	299.5 	1537 
