Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8679E-02      2.5495E+02   
   1.4500E+00      2.9330E+02      0.0000E+00      0.0000E+00      4.8764E-02      2.5495E+02   
   2.1450E+01      2.9739E+02      0.0000E+00      0.0000E+00      5.0109E-02      2.5495E+02   
   4.1450E+01      3.0148E+02      0.0000E+00      0.0000E+00      5.1835E-02      2.5495E+02   
   6.1450E+01      3.0557E+02      0.0000E+00      0.0000E+00      5.4036E-02      2.5495E+02   
   8.1450E+01      3.0966E+02      0.0000E+00      0.0000E+00      5.6827E-02      2.5494E+02   
   1.0145E+02      3.1375E+02      0.0000E+00      0.0000E+00      6.0346E-02      2.5494E+02   
   1.2145E+02      3.1784E+02      0.0000E+00      0.0000E+00      6.4757E-02      2.5494E+02   
   1.4145E+02      3.2193E+02      0.0000E+00      0.0000E+00      7.0261E-02      2.5493E+02   
   1.6145E+02      3.2602E+02      0.0000E+00      0.0000E+00      7.7093E-02      2.5492E+02   
   1.8145E+02      3.3011E+02      0.0000E+00      0.0000E+00      8.5538E-02      2.5491E+02   
   2.0145E+02      3.3421E+02      0.0000E+00      0.0000E+00      9.5928E-02      2.5490E+02   
   2.2145E+02      3.3830E+02      0.0000E+00      0.0000E+00      1.0866E-01      2.5489E+02   
   2.4145E+02      3.4239E+02      0.0000E+00      0.0000E+00      1.2420E-01      2.5488E+02   
   2.6145E+02      3.4648E+02      0.0000E+00      0.0000E+00      1.4310E-01      2.5486E+02   
   2.8145E+02      3.5057E+02      0.0000E+00      0.0000E+00      1.6601E-01      2.5483E+02   
   3.0145E+02      3.5466E+02      0.0000E+00      0.0000E+00      1.9366E-01      2.5481E+02   
   3.2145E+02      3.5875E+02      0.0000E+00      0.0000E+00      2.2695E-01      2.5477E+02   
   3.4145E+02      3.6284E+02      0.0000E+00      0.0000E+00      2.6688E-01      2.5473E+02   
   3.6145E+02      3.6693E+02      0.0000E+00      0.0000E+00      3.1464E-01      2.5469E+02   
   3.8145E+02      3.7102E+02      0.0000E+00      0.0000E+00      3.7157E-01      2.5463E+02   
   4.0145E+02      3.7511E+02      0.0000E+00      0.0000E+00      4.3924E-01      2.5456E+02   
   4.2145E+02      3.7921E+02      0.0000E+00      0.0000E+00      5.1940E-01      2.5448E+02   
   4.4145E+02      3.8330E+02      0.0000E+00      0.0000E+00      6.1409E-01      2.5439E+02   
   4.6145E+02      3.8739E+02      0.0000E+00      0.0000E+00      7.2554E-01      2.5427E+02   
   4.8145E+02      3.9148E+02      0.0000E+00      0.0000E+00      8.5631E-01      2.5414E+02   
   5.0145E+02      3.9557E+02      0.0000E+00      0.0000E+00      1.0092E+00      2.5399E+02   
   5.2145E+02      3.9966E+02      0.0000E+00      0.0000E+00      1.1872E+00      2.5381E+02   
   5.4145E+02      4.0375E+02      0.0000E+00      0.0000E+00      1.3938E+00      2.5361E+02   
   5.6145E+02      4.0784E+02      0.0000E+00      0.0000E+00      1.6325E+00      2.5337E+02   
   5.8145E+02      4.1193E+02      0.0000E+00      0.0000E+00      1.9070E+00      2.5309E+02   
   6.0145E+02      4.1602E+02      0.0000E+00      0.0000E+00      2.2213E+00      2.5278E+02   
   6.2145E+02      4.2011E+02      0.0000E+00      0.0000E+00      2.5794E+00      2.5242E+02   
   6.4145E+02      4.2421E+02      0.0000E+00      0.0000E+00      2.9851E+00      2.5201E+02   
   6.6145E+02      4.2830E+02      0.0000E+00      0.0000E+00      3.4423E+00      2.5156E+02   
   6.8145E+02      4.3239E+02      0.0000E+00      0.0000E+00      3.9544E+00      2.5105E+02   
   7.0145E+02      4.3648E+02      0.0000E+00      0.0000E+00      4.5246E+00      2.5048E+02   
   7.2145E+02      4.4057E+02      0.0000E+00      0.0000E+00      5.1554E+00      2.4984E+02   
