Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      2.9300E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   8.5000E+00      2.9314E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   1.7000E+01      2.9328E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   2.5500E+01      2.9342E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   3.4000E+01      2.9357E+02      0.0000E+00      0.0000E+00      4.8676E-02      1.9995E+02   
   4.2500E+01      2.9371E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   5.1000E+01      2.9385E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   5.9500E+01      2.9399E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   6.8000E+01      2.9413E+02      0.0000E+00      0.0000E+00      4.8677E-02      1.9995E+02   
   7.6500E+01      2.9427E+02      0.0000E+00      0.0000E+00      4.8678E-02      1.9995E+02   
   8.5000E+01      2.9442E+02      0.0000E+00      0.0000E+00      4.8678E-02      1.9995E+02   
   9.3500E+01      2.9456E+02      0.0000E+00      0.0000E+00      4.8679E-02      1.9995E+02   
   1.0200E+02      2.9470E+02      0.0000E+00      0.0000E+00      4.8679E-02      1.9995E+02   
   1.1050E+02      2.9484E+02      0.0000E+00      0.0000E+00      4.8680E-02      1.9995E+02   
   1.1900E+02      2.9498E+02      0.0000E+00      0.0000E+00      4.8680E-02      1.9995E+02   
   1.2750E+02      2.9512E+02      0.0000E+00      0.0000E+00      4.8681E-02      1.9995E+02   
   1.3600E+02      2.9527E+02      0.0000E+00      0.0000E+00      4.8682E-02      1.9995E+02   
   1.4450E+02      2.9541E+02      0.0000E+00      0.0000E+00      4.8683E-02      1.9995E+02   
   1.5300E+02      2.9555E+02      0.0000E+00      0.0000E+00      4.8683E-02      1.9995E+02   
   1.6150E+02      2.9569E+02      0.0000E+00      0.0000E+00      4.8684E-02      1.9995E+02   
   1.7000E+02      2.9583E+02      0.0000E+00      0.0000E+00      4.8685E-02      1.9995E+02   
   1.7600E+02      2.9593E+02      0.0000E+00      0.0000E+00      4.8686E-02      1.9995E+02   
   1.8450E+02      2.9607E+02      0.0000E+00      0.0000E+00      4.8687E-02      1.9995E+02   
   1.9300E+02      2.9622E+02      0.0000E+00      0.0000E+00      4.8688E-02      1.9995E+02   
   2.0150E+02      2.9636E+02      0.0000E+00      0.0000E+00      4.8689E-02      1.9995E+02   
   2.1000E+02      2.9650E+02      0.0000E+00      0.0000E+00      4.8691E-02      1.9995E+02   
   2.1850E+02      2.9664E+02      0.0000E+00      0.0000E+00      4.8692E-02      1.9995E+02   
   2.2700E+02      2.9678E+02      0.0000E+00      0.0000E+00      4.8694E-02      1.9995E+02   
   2.3550E+02      2.9692E+02      0.0000E+00      0.0000E+00      4.8695E-02      1.9995E+02   
   2.4400E+02      2.9707E+02      0.0000E+00      0.0000E+00      4.8697E-02      1.9995E+02   
   2.5250E+02      2.9721E+02      0.0000E+00      0.0000E+00      4.8698E-02      1.9995E+02   
   2.6100E+02      2.9735E+02      0.0000E+00      0.0000E+00      4.8700E-02      1.9995E+02   
   2.6950E+02      2.9749E+02      0.0000E+00      0.0000E+00      4.8702E-02      1.9995E+02   
   2.7800E+02      2.9763E+02      0.0000E+00      0.0000E+00      4.8703E-02      1.9995E+02   
   2.8650E+02      2.9777E+02      0.0000E+00      0.0000E+00      4.8705E-02      1.9995E+02   
   2.9500E+02      2.9792E+02      0.0000E+00      0.0000E+00      4.8707E-02      1.9995E+02   
   3.0350E+02      2.9806E+02      0.0000E+00      0.0000E+00      4.8710E-02      1.9995E+02   
   3.1200E+02      2.9820E+02      0.0000E+00      0.0000E+00      4.8712E-02      1.9995E+02   
   3.2050E+02      2.9834E+02      0.0000E+00      0.0000E+00      4.8714E-02      1.9995E+02   
   3.2900E+02      2.9848E+02      0.0000E+00      0.0000E+00      4.8716E-02      1.9995E+02   
   3.3750E+02      2.9862E+02      0.0000E+00      0.0000E+00      4.8719E-02      1.9995E+02   
   3.4600E+02      2.9877E+02      0.0000E+00      0.0000E+00      4.8721E-02      1.9995E+02   
   3.5450E+02      2.9891E+02      0.0000E+00      0.0000E+00      4.8724E-02      1.9995E+02   
   3.6300E+02      2.9905E+02      0.0000E+00      0.0000E+00      4.8727E-02      1.9995E+02   
   3.7150E+02      2.9919E+02      0.0000E+00      0.0000E+00      4.8729E-02      1.9995E+02   
   3.8000E+02      2.9933E+02      0.0000E+00      0.0000E+00      4.8732E-02      1.9995E+02   
   3.8850E+02      2.9947E+02      0.0000E+00      0.0000E+00      4.8735E-02      1.9995E+02   
   3.9700E+02      2.9962E+02      0.0000E+00      0.0000E+00      4.8739E-02      1.9995E+02   
   4.0550E+02      2.9976E+02      0.0000E+00      0.0000E+00      4.8742E-02      1.9995E+02   
   4.1400E+02      2.9990E+02      0.0000E+00      0.0000E+00      4.8745E-02      1.9995E+02   
   4.2250E+02      3.0004E+02      0.0000E+00      0.0000E+00      4.8749E-02      1.9995E+02   
   4.3100E+02      3.0018E+02      0.0000E+00      0.0000E+00      4.8752E-02      1.9995E+02   
   4.3950E+02      3.0032E+02      0.0000E+00      0.0000E+00      4.8756E-02      1.9995E+02   
   4.4800E+02      3.0047E+02      0.0000E+00      0.0000E+00      4.8760E-02      1.9995E+02   
   4.5650E+02      3.0061E+02      0.0000E+00      0.0000E+00      4.8763E-02      1.9995E+02   
   4.6500E+02      3.0075E+02      0.0000E+00      0.0000E+00      4.8767E-02      1.9995E+02   
   4.7350E+02      3.0089E+02      0.0000E+00      0.0000E+00      4.8772E-02      1.9995E+02   
   4.8200E+02      3.0103E+02      0.0000E+00      0.0000E+00      4.8776E-02      1.9995E+02   
   4.9050E+02      3.0117E+02      0.0000E+00      0.0000E+00      4.8780E-02      1.9995E+02   
   4.9900E+02      3.0132E+02      0.0000E+00      0.0000E+00      4.8785E-02      1.9995E+02   
   5.0750E+02      3.0146E+02      0.0000E+00      0.0000E+00      4.8789E-02      1.9995E+02   
   5.1600E+02      3.0160E+02      0.0000E+00      0.0000E+00      4.8794E-02      1.9995E+02   
