Results for node = 1
    time [s]    temperature [K]    growth [/]    nucleation [/]   Css [wt.ppm]    Cp [wt.ppm]   
   0.0000E+00      6.9678E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.1873E+01      6.8980E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   1.2250E+02      6.7636E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.0325E+02      6.6290E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   2.8455E+02      6.4935E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   3.6652E+02      6.3569E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   4.4707E+02      6.2227E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   5.2829E+02      6.0873E+02      0.0000E+00      0.0000E+00      2.0500E+02      0.0000E+00   
   6.1116E+02      5.9492E+02      2.9638E-02      9.7036E-01      1.9707E+02      7.9262E+00   
   6.9343E+02      5.8121E+02      4.4864E-02      9.5514E-01      1.7552E+02      2.9476E+01   
   7.7605E+02      5.6800E+02      5.9433E-02      9.4057E-01      1.5245E+02      5.2548E+01   
   8.5756E+02      5.6800E+02      1.0000E+00      0.0000E+00      1.4686E+02      5.8144E+01   
   9.3907E+02      5.6800E+02      1.0000E+00      0.0000E+00      1.4567E+02      5.9325E+01   
   1.0206E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.4449E+02      6.0509E+01   
   1.1021E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.4331E+02      6.1694E+01   
   1.1836E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.4212E+02      6.2882E+01   
   1.2651E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.4093E+02      6.4071E+01   
   1.3466E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3974E+02      6.5260E+01   
   1.4281E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3855E+02      6.6451E+01   
   1.5096E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3736E+02      6.7641E+01   
   1.5911E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3617E+02      6.8831E+01   
   1.6726E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3498E+02      7.0020E+01   
   1.7541E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3379E+02      7.1208E+01   
   1.8357E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3261E+02      7.2395E+01   
   1.9172E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3142E+02      7.3579E+01   
   1.9987E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.3024E+02      7.4762E+01   
   2.0802E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.2906E+02      7.5941E+01   
   2.1617E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.2788E+02      7.7117E+01   
   2.2432E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.2671E+02      7.8290E+01   
   2.3247E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.2554E+02      7.9458E+01   
   2.4062E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.2438E+02      8.0622E+01   
   2.4877E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.2322E+02      8.1782E+01   
   2.5692E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.2206E+02      8.2936E+01   
   2.6507E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.2091E+02      8.4085E+01   
   2.7322E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1977E+02      8.5229E+01   
   2.8137E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1863E+02      8.6366E+01   
   2.8952E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1750E+02      8.7496E+01   
   2.9768E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1638E+02      8.8620E+01   
   3.0583E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1526E+02      8.9737E+01   
   3.1398E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1415E+02      9.0846E+01   
   3.2213E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1305E+02      9.1947E+01   
   3.3028E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1196E+02      9.3041E+01   
   3.3843E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.1087E+02      9.4125E+01   
   3.4658E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.0980E+02      9.5202E+01   
   3.5473E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.0873E+02      9.6269E+01   
   3.6288E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.0767E+02      9.7327E+01   
   3.7103E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.0662E+02      9.8376E+01   
   3.7918E+03      5.6800E+02      1.0000E+00      0.0000E+00      1.0558E+02      9.9415E+01   
